Pos,P+,Artist,Title,Wks,Pk,(x?),Streams,Streams+,Total
162,+10,Mr.Kitty ,After Dark,36,112,,7460586,286732.0,251231802
163,+1,Quevedo ,Playa Del Inglés,4,145,,7413792,165207.0,30450684
164,+15,Mora ,LA INOCENTE,25,74,,7408378,330532.0,195747859
165,-66,Gustavo Mioto ,Eu Gosto Assim,14,99,,7386610,-1268595.0,109025436
166,+12,OneRepublic ,Counting Stars,242,3,(x5),7381621,303657.0,979714976
167,-62,The Weeknd ,Save Your Tears (Remix),40,43,,7368432,-1202841.0,305526375
168,+29,Freddie Dredd ,Limbo,8,158,,7329471,553704.0,58738383
169,+15,Eminem ,Lose Yourself,208,44,,7307231,374502.0,710991863
170,RE,Sam Smith ,I'm Not The Only One,78,30,,7280045,,278888908
171,-51,Coolio ,Gangsta's Paradise,59,40,,7238510,-961450.0,381596735
172,-32,Lost Frequencies ,Where Are You Now,68,18,,7220266,-542213.0,751358747
173,RE,James Arthur ,Say You Won't Let Go,283,7,,7195612,,1928060377
174,+26,TWISTED ,WORTH NOTHING,6,174,,7174966,439058.0,41183223
175,-46,Ed Sheeran ,Bad Habits,77,3,(x4),7146738,-864052.0,1338584339
176,+7,Kenshi Yonezu ,KICK BACK,10,66,,7142905,193596.0,83887478
177,+10,Keane ,Somewhere Only We Know,14,120,,7133830,257596.0,97888987
178,RE,Omar Apollo ,Evergreen,12,54,,7105381,,102275573
179,+19,Bruno Mars ,Locked Out Of Heaven,83,45,,7096712,338034.0,342143387
180,RE,Imagine Dragons ,Demons,152,8,,7065889,,411077681
181,RE,Feid ,Normal,23,57,,7057825,,179764408
182,+9,Seafret ,Atlantis,22,63,,7033703,218130.0,182803922
183,RE,SZA ,Good Days,35,5,,7011751,,380181056
184,+11,Post Malone ,Sunflower,216,1,(x2),7010924,209189.0,2432366466
185,-9,Ed Sheeran ,Shape of You,299,1,(x14),6911228,-188479.0,3234670723
186,-16,Dua Lipa ,Levitating,115,4,,6899292,-283697.0,1568650961
187,-29,Doja Cat ,Woman,76,6,,6891308,-428980.0,1104249956
188,NEW,Hotel Ugly ,Shut up My Moms Calling,1,188,,6885912,,6885912
189,-62,James Hype ,Ferrari,28,34,,6882511,-1165062.0,266589180
190,-24,Dua Lipa ,Don't Start Now,157,2,(x1),6850781,-360493.0,2037830212
191,-14,Shakira ,Te Felicito,35,13,,6823173,-262572.0,424378574
192,RE,Coldplay ,My Universe,63,3,(x1),6816197,,800539723
193,-11,Taylor Swift ,"You're On Your Own, Kid",11,6,,6802122,-153304.0,181095035
194,RE,Taylor Swift ,Don’t Blame Me,28,72,,6797641,,213575473
195,-1,Tears For Fears ,Everybody Wants To Rule The World,24,105,,6783096,-20896.0,165830503
196,NEW,PinkPantheress ,Boy's a liar,1,196,,6764722,,6764722
197,-8,Pritam ,Kesariya,11,71,,6739427,-101231.0,84426152
198,RE,Hozier ,Take Me To Church,202,1,(x5),6717421,,1058553367
199,NEW,MC K.K ,Agudo Mágico 3,1,199,,6713237,,6713237
200,RE,Maroon 5 ,Payphone,50,70,,6713045,,320478893
